dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1691604801,1,113.073767,22.632158,0.0,40.0,-1.0,63203.46660591813,1,0,0.0
1691682066,1,113.074245,22.632965,0.0,40.0,-1.0,102.38350178819692,1,0,0.0
1691854576,1,113.074346,22.633192,0.0,40.0,-1.0,27.31732395144408,1,0,0.0
1691977006,1,113.074078,22.633015,0.0,40.0,-1.0,33.859378945420666,1,0,0.0
1691979001,1,113.073125,22.632347,0.0,40.0,-1.0,122.95329705923825,1,0,0.0
1691979169,1,113.072147,22.631759,0.0,40.0,-1.0,119.9253495671584,1,0,0.0
1691979198,1,113.06987,22.631775,0.0,40.0,-1.0,233.96296419274753,1,0,0.0
1691979297,1,113.068913,22.632013,0.0,40.0,-1.0,101.83604986597186,1,0,0.0
1691979305,1,113.067911,22.632026,0.0,40.0,-1.0,102.96305206485142,1,0,0.0
1691979334,1,113.064189,22.631673,0.0,40.0,-1.0,384.4397755094639,1,0,0.0
1691979355,1,113.063187,22.631609,0.0,40.0,-1.0,103.19934398950544,1,0,0.0
1691979389,1,113.062965,22.630579,0.0,40.0,-1.0,116.905939844915,1,0,0.0
1691979402,1,113.06258,22.629221,0.0,40.0,-1.0,156.26196691884388,1,0,0.0
1691979415,1,113.062596,22.627492,0.0,40.0,-1.0,192.4784140882035,1,0,0.0
1691979428,1,113.062464,22.625728,0.0,40.0,-1.0,196.83542818861736,1,0,0.0
1691979447,1,113.062685,22.624544,0.0,40.0,-1.0,133.74419901264287,1,0,0.0
1691979547,1,113.063034,22.623546,0.0,40.0,-1.0,116.74124615619763,1,0,0.0
1691979568,1,113.064217,22.621365,0.0,40.0,-1.0,271.518734081265,1,0,0.0
1691979581,1,113.064281,22.620211,0.0,40.0,-1.0,128.63092617680493,1,0,0.0
1691979587,1,113.064833,22.619443,0.0,40.0,-1.0,102.59859207321705,1,0,0.0
1691979600,1,113.065311,22.61824,0.0,40.0,-1.0,142.64089080478323,1,0,0.0
1691979613,1,113.066257,22.616885,0.0,40.0,-1.0,179.44837108452526,1,0,0.0
1691979638,1,113.067442,22.613896,0.0,40.0,-1.0,354.3161161729083,1,0,0.0
1691979651,1,113.068366,22.613016,0.0,40.0,-1.0,136.42638414601146,1,0,0.0
1691979665,1,113.068332,22.61181,0.0,40.0,-1.0,134.29677387421728,1,0,0.0
1691979673,1,113.068473,22.610808,0.0,40.0,-1.0,112.47925018848981,1,0,0.0
1691979680,1,113.067678,22.610111,0.0,40.0,-1.0,112.67009939875997,1,0,0.0
1691979686,1,113.068822,22.609871,0.0,40.0,-1.0,120.5593839986181,1,0,0.0
1691979721,1,113.067756,22.609831,0.0,40.0,-1.0,109.63683312656131,1,0,0.0
1691979902,1,113.066846,22.609719,0.0,40.0,-1.0,94.34270738536468,1,0,0.0
1691980977,1,113.068037,22.60981,0.0,40.0,-1.0,122.81035889612835,1,0,0.0
1691980997,1,113.069187,22.609722,0.0,40.0,-1.0,118.58394773559974,1,0,0.0
1691981010,1,113.069712,22.608426,0.0,40.0,-1.0,154.02791422343952,1,0,0.0
1691981036,1,113.06871,22.607301,0.0,40.0,-1.0,162.1316632855108,1,0,0.0
1691981049,1,113.067271,22.606724,0.0,40.0,-1.0,161.22736344296857,1,0,0.0
1691981062,1,113.065281,22.605997,0.0,40.0,-1.0,219.93639389885652,1,0,0.0
1691981101,1,113.064576,22.605504,0.0,40.0,-1.0,90.88993310277067,1,0,0.0
1691981121,1,113.063027,22.605187,0.0,40.0,-1.0,163.05100302351937,1,0,0.0
1691981134,1,113.061803,22.604647,0.0,40.0,-1.0,139.41313908171233,1,0,0.0
1691981161,1,113.06087,22.604355,0.0,40.0,-1.0,101.24246542186893,1,0,0.0
1691981180,1,113.059692,22.605853,0.0,40.0,-1.0,206.0662484639776,1,0,0.0
1691981193,1,113.058692,22.606745,0.0,40.0,-1.0,142.90155683998134,1,0,0.0
1691981206,1,113.057671,22.607736,0.0,40.0,-1.0,152.24657415126734,1,0,0.0
1691981226,1,113.056952,22.608751,0.0,40.0,-1.0,135.0038084035659,1,0,0.0
1691981239,1,113.056307,22.609778,0.0,40.0,-1.0,132.1501734493002,1,0,0.0
1691981258,1,113.054989,22.60965,0.0,40.0,-1.0,136.19046933611074,1,0,0.0
1691981271,1,113.053526,22.608907,0.0,40.0,-1.0,171.59368739074955,1,0,0.0
1691981285,1,113.052079,22.60875,0.0,40.0,-1.0,149.72405185550252,1,0,0.0
1691981324,1,113.050122,22.61095,0.0,40.0,-1.0,316.89470758215293,1,0,0.0
1691981360,1,113.049329,22.616657,0.0,40.0,-1.0,640.5053086258781,1,0,0.0
1691981381,1,113.048859,22.619336,0.0,40.0,-1.0,302.1102950155927,1,0,0.0
1691981396,1,113.04872,22.621831,0.0,40.0,-1.0,278.10917300585436,1,0,0.0
1691981403,1,113.048797,22.622854,0.0,40.0,-1.0,114.15439587610915,1,0,0.0
1691981439,1,113.048324,22.623704,0.0,40.0,-1.0,106.37415131935745,1,0,0.0
1691981445,1,113.046914,22.624745,0.0,40.0,-1.0,185.52575105460167,1,0,0.0
1691981453,1,113.048985,22.626087,0.0,40.0,-1.0,260.0027863695832,1,0,0.0
1691981460,1,113.049069,22.627314,0.0,40.0,-1.0,136.8614244970533,1,0,0.0
1691981473,1,113.049141,22.628684,0.0,40.0,-1.0,152.68703203127762,1,0,0.0
1691981479,1,113.049212,22.629593,0.0,40.0,-1.0,101.45205075730054,1,0,0.0
1691981486,1,113.049021,22.630859,0.0,40.0,-1.0,142.2903291093627,1,0,0.0
1691981500,1,113.048946,22.631826,0.0,40.0,-1.0,107.92145432810992,1,0,0.0
1691981514,1,113.049145,22.634237,0.0,40.0,-1.0,269.16900365248694,1,0,0.0
1691981534,1,113.048625,22.633106,0.0,40.0,-1.0,136.7697191564366,1,0,0.0
1691981541,1,113.04868,22.631829,0.0,40.0,-1.0,142.26721968218075,1,0,0.0
1691981561,1,113.048617,22.629772,0.0,40.0,-1.0,229.07568736542774,1,0,0.0
1691981567,1,113.048453,22.628752,0.0,40.0,-1.0,114.78945898461197,1,0,0.0
1691981582,1,113.048578,22.627615,0.0,40.0,-1.0,127.22026578553192,1,0,0.0
1691981881,1,113.048169,22.626567,0.0,40.0,-1.0,124.0013442050081,1,0,0.0
1691981896,1,113.047959,22.624937,0.0,40.0,-1.0,182.7293020371928,1,0,0.0
1691981905,1,113.048237,22.623856,0.0,40.0,-1.0,123.68030003168033,1,0,0.0
1691981915,1,113.04718,22.623706,0.0,40.0,-1.0,109.8865594045118,1,0,0.0
1691981922,1,113.046201,22.623481,0.0,40.0,-1.0,103.66708823383269,1,0,0.0
1691981929,1,113.04545,22.622894,0.0,40.0,-1.0,101.11801539943029,1,0,0.0
1691981935,1,113.04469,22.622312,0.0,40.0,-1.0,101.46950037056331,1,0,0.0
1691981942,1,113.043945,22.621709,0.0,40.0,-1.0,101.81413847009803,1,0,0.0
1691982042,1,113.043409,22.620946,0.0,40.0,-1.0,101.2310445392973,1,0,0.0
1691982219,1,113.042374,22.620247,0.0,40.0,-1.0,131.77856029758414,1,0,0.0
1691982246,1,113.041087,22.619845,0.0,40.0,-1.0,139.61365700641426,1,0,0.0
1691982252,1,113.038176,22.619102,0.0,40.0,-1.0,310.3493283381801,1,0,0.0
1691982253,1,113.039814,22.619589,0.0,40.0,-1.0,176.83095561210857,1,0,0.0
1691982260,1,113.037776,22.61905,0.0,40.0,-1.0,217.8445372183434,1,0,0.0
1691982305,1,113.03687,22.618712,0.0,40.0,-1.0,100.41391825935649,1,0,0.0
1691982356,1,113.035798,22.61849,0.0,40.0,-1.0,112.89399596526967,1,0,0.0
1691982376,1,113.034974,22.61799,0.0,40.0,-1.0,101.32821472719796,1,0,0.0
1691982415,1,113.033742,22.617291,0.0,40.0,-1.0,148.59949276310795,1,0,0.0
1691982422,1,113.032718,22.617118,0.0,40.0,-1.0,106.97244592664862,1,0,0.0
1691982449,1,113.032298,22.616083,0.0,40.0,-1.0,123.03386311395401,1,0,0.0
1691982540,1,113.032348,22.617104,0.0,40.0,-1.0,113.7733078951722,1,0,0.0
1691982560,1,113.03474,22.618008,0.0,40.0,-1.0,265.600086654464,1,0,0.0
1691982586,1,113.035674,22.618515,0.0,40.0,-1.0,111.34038755575806,1,0,0.0
1691982606,1,113.037119,22.618649,0.0,40.0,-1.0,149.23188183271205,1,0,0.0
1691982655,1,113.038832,22.619306,0.0,40.0,-1.0,190.6123921675748,1,0,0.0
1691982673,1,113.041224,22.619917,0.0,40.0,-1.0,255.03106360778546,1,0,0.0
1691982699,1,113.042431,22.620276,0.0,40.0,-1.0,130.30636208447496,1,0,0.0
1691982725,1,113.043379,22.620573,0.0,40.0,-1.0,102.87041171993869,1,0,0.0
1691982751,1,113.044232,22.621403,0.0,40.0,-1.0,127.35577226042429,1,0,0.0
1691982803,1,113.043603,22.620602,0.0,40.0,-1.0,110.12809167217019,1,0,0.0
1691982816,1,113.04254,22.620475,0.0,40.0,-1.0,110.14068131343818,1,0,0.0
1691982836,1,113.041636,22.61993,0.0,40.0,-1.0,110.94857609204729,1,0,0.0
1691982857,1,113.039547,22.619626,0.0,40.0,-1.0,217.3095420902411,1,0,0.0
1691982865,1,113.038298,22.619248,0.0,40.0,-1.0,135.06518308605783,1,0,0.0
1691982891,1,113.037122,22.618706,0.0,40.0,-1.0,135.06745692532564,1,0,0.0
1691982943,1,113.034615,22.617843,0.0,40.0,-1.0,274.9433964883695,1,0,0.0
1691982962,1,113.033453,22.616636,0.0,40.0,-1.0,179.7524516948206,1,0,0.0
1691982969,1,113.032312,22.617131,0.0,40.0,-1.0,129.55065585547615,1,0,0.0
1691983024,1,113.032436,22.615745,0.0,40.0,-1.0,154.81409208807762,1,0,0.0
1691983108,1,113.032217,22.616774,0.0,40.0,-1.0,116.73745469408887,1,0,0.0
1691983128,1,113.033275,22.617225,0.0,40.0,-1.0,119.75092959659491,1,0,0.0
1691983147,1,113.034829,22.618381,0.0,40.0,-1.0,205.08415199598895,1,0,0.0
1691983167,1,113.035816,22.618532,0.0,40.0,-1.0,102.80514917104777,1,0,0.0
1691983187,1,113.036773,22.618726,0.0,40.0,-1.0,100.68217094999216,1,0,0.0
1691983201,1,113.037773,22.619057,0.0,40.0,-1.0,109.16376233746568,1,0,0.0
1691983220,1,113.038812,22.619437,0.0,40.0,-1.0,114.83922035247438,1,0,0.0
1691983226,1,113.040648,22.619835,0.0,40.0,-1.0,193.79367158989757,1,0,0.0
1691983242,1,113.041609,22.619985,0.0,40.0,-1.0,100.1507646460842,1,0,0.0
1691983281,1,113.042908,22.620625,0.0,40.0,-1.0,151.30346715450733,1,0,0.0
1691983294,1,113.043753,22.621314,0.0,40.0,-1.0,115.85311746441192,1,0,0.0
1691983542,1,113.04318,22.620525,0.0,40.0,-1.0,105.74044289778563,1,0,0.0
1691983562,1,113.042199,22.620068,0.0,40.0,-1.0,112.91351729272345,1,0,0.0
1691983603,1,113.037176,22.61912,0.0,40.0,-1.0,526.8246056249175,1,0,0.0
1691983636,1,113.036238,22.61866,0.0,40.0,-1.0,109.1442738068011,1,0,0.0
1691983649,1,113.0352,22.618316,0.0,40.0,-1.0,113.32810849205664,1,0,0.0
1691983662,1,113.034228,22.617558,0.0,40.0,-1.0,130.75226641376125,1,0,0.0
1691983681,1,113.033207,22.616905,0.0,40.0,-1.0,127.63820806291687,1,0,0.0
1691983702,1,113.032193,22.617089,0.0,40.0,-1.0,106.19133895743394,1,0,0.0
1691983722,1,113.032724,22.616204,0.0,40.0,-1.0,112.61917908051171,1,0,0.0
1691983775,1,113.032237,22.617156,0.0,40.0,-1.0,117.19772042371383,1,0,0.0
1691983782,1,113.033319,22.617213,0.0,40.0,-1.0,111.36561576201797,1,0,0.0
1691983796,1,113.034536,22.618073,0.0,40.0,-1.0,157.49384653206099,1,0,0.0
1691983816,1,113.035491,22.618367,0.0,40.0,-1.0,103.44714686107002,1,0,0.0
1691983902,1,113.040369,22.619758,0.0,40.0,-1.0,524.621354599264,1,0,0.0
1691983924,1,113.041569,22.619848,0.0,40.0,-1.0,123.71418334545659,1,0,0.0
1691983956,1,113.042517,22.620405,0.0,40.0,-1.0,115.47243368063418,1,0,0.0
1691983976,1,113.043735,22.620903,0.0,40.0,-1.0,136.88485264940596,1,0,0.0
1691984008,1,113.044207,22.621742,0.0,40.0,-1.0,105.23934639549405,1,0,0.0
1691984040,1,113.043624,22.620652,0.0,40.0,-1.0,135.32088387134698,1,0,0.0
1691984047,1,113.042608,22.620422,0.0,40.0,-1.0,107.49378403681787,1,0,0.0
1691984067,1,113.041702,22.620023,0.0,40.0,-1.0,103.1498345769848,1,0,0.0
1691984089,1,113.040571,22.619831,0.0,40.0,-1.0,118.16650769172618,1,0,0.0
1691984095,1,113.039218,22.619506,0.0,40.0,-1.0,143.65984388480987,1,0,0.0
1691984103,1,113.037736,22.619191,0.0,40.0,-1.0,156.27060871085857,1,0,0.0
1691984142,1,113.036487,22.618426,0.0,40.0,-1.0,154.02677064831033,1,0,0.0
1691984168,1,113.035358,22.618425,0.0,40.0,-1.0,116.01327139100509,1,0,0.0
1691984194,1,113.034449,22.617714,0.0,40.0,-1.0,122.43068637700405,1,0,0.0
1691984228,1,113.032743,22.617217,0.0,40.0,-1.0,183.82867907286536,1,0,0.0
1691984255,1,113.032355,22.616312,0.0,40.0,-1.0,108.346769566048,1,0,0.0
