geoTime,latitude,longitude,altitude,course,horizontalAccuracy,verticalAccuracy,speed,status,activity,network,appStatus,dayTime
1713518948000,22.184155180871763,113.55115173070415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713518854000,22.185109152654405,113.55146495531724,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713518766000,22.18419936719884,113.5515167591537,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713518731000,22.185158061127844,113.55149886809748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713518544000,22.184190076515197,113.55119362087778,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713518536000,22.18512414726101,113.55146495627345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713518316000,22.184198089747525,113.55164441942303,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713517931000,22.185244019346413,113.55150386029733,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713517796000,22.186176408660607,113.5516305826957,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713517763000,22.18517696956792,113.55153776572969,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713517614000,22.186059620498256,113.55109500433181,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713517601000,22.18536655299597,113.55033201338152,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713517355000,22.186546268020454,113.54893290667049,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713516192000,22.187326364312902,113.54832862621006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713516045000,22.188021485847713,113.5472995422295,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713515865000,22.188608003846333,113.54655866875129,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713515685000,22.1893742702878,113.54590457694081,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
1713515572000,22.19021177740817,113.54514480728483,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1713456000
